orden,sitios,codigo,fecha,año,campaña,tem_agua,tem_aire,od,ph,olores,color,espumas,mat_susp,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,dqo_mg_l,turbiedad_ntu,hidr_deriv_petr_ug_l,cr_total_mg_l,cd_total_mg_l,clorofila_a_ug_l,microcistina_ug_l,ica,calidad_de_agua,gobierno_local,sitio,latitud,longitud,Poblacion_partido,Personas_con_cloacas,Actividad_principal,"Agricultura, ganadería, caza y silvicultura",Pesca explotación de criaderos de peces y granjas piscícolas y servicios conexos,Explotación de minas y canteras,Industria Manufacturera,"Electricidad, gas y agua",Construcción,Servicios
7.0,Río Lujan y Canal San Fernando,TI007,25/8/2021,2021.0,invierno,14.4,8,4.88,6.76,Presencia,Presencia,Presencia,Ausencia,14000,2000,690,2.1,2.5,0.43,0.37,2.9,<30,16,<100,<0.005,<0.001,<0.010,<0.20,35,Extremadamente deteriorada,,,,,,,,,,,,,,
7.0,Río Lujan y Canal San Fernando,TI007,27/10/2021,2021.0,primavera,24.2,32,3.9,6.71,Ausencia,Presencia,Ausencia,Presencia,15000,12000,430,<2.0,1.8,0.25,0.39,4.2,31,21,<100,<0.005,<0.001,0.00415,<0.20,34,Extremadamente deteriorada,,,,,,,,,,,,,,
8.0,Río Capitán y Río San Antonio,TI008,24/2/2021,2021.0,verano,26.7,28,5.85,6.8,Ausencia,Ausencia,Ausencia,Ausencia,2000,440,200,3.1,0.06,0.94,0.31,<2.0,<30,80,<100,<5.0,<0.001,0.001,<0.15,49,Muy deteriorada,Tigre,Río Capitán y río San Antonio,-34.375.561,-58.558.619,446.949,144.834,"""La industria metalúrgica y la actividad maderera""",4.0,4.0,4.0,4.0,5.0,3.0,4.0
8.0,Río Capitán y Río San Antonio,TI008,19/5/2021,2021.0,otoño,15.2,12,8.63,6.92,Ausencia,Ausencia,Ausencia,Ausencia,no se midió,no se midió,no se midió,2.8,0.16,0.19,<0.20,3.9,<2.0,<30,160,<100,<0.005,<0.001,<10.000,75,Deteriorada,Tigre,Río Capitán y río San Antonio,-34.375.561,-58.558.619,446.949,144.834,"""La industria metalúrgica y la actividad maderera""",4.0,4.0,4.0,4.0,5.0,3.0,4.0
8.0,Río Capitán y Río San Antonio,TI008,25/8/2021,2021.0,invierno,14.6,9,10.08,6.88,Ausencia,Ausencia,Ausencia,Ausencia,1000,600,100,2.1,0.3,<0.20,<0.10,<2.0,<30,22,<100,<0.005,<0.001,<0.010,<0.20,65,Deteriorada,Tigre,Río Capitán y río San Antonio,-34.375.561,-58.558.619,446.949,144.834,"""La industria metalúrgica y la actividad maderera""",4.0,4.0,4.0,4.0,5.0,3.0,4.0
8.0,Río Capitán y Río San Antonio,TI008,27/10/2021,2021.0,primavera,24.8,32,7.27,7.13,Ausencia,Ausencia,Ausencia,Ausencia,8000,150,40,<2.0,0.09,<0.20,<0.10,<2.0,<30,32,<100,<0.005,<0.001,0.00237,<0.20,49,Muy deteriorada,Tigre,Río Capitán y río San Antonio,-34.375.561,-58.558.619,446.949,144.834,"""La industria metalúrgica y la actividad maderera""",4.0,4.0,4.0,4.0,5.0,3.0,4.0
9.0,Arroyo Abra Vieja y Santa Rosa,TI009,24/2/2021,2021.0,verano,24.7,28,4.17,6.85,Ausencia,Ausencia,Ausencia,Ausencia,1900,360,150,2.5,0.34,0.59,0.3,<2.0,<30,50,<100,<5.0,<0.001,0.009,<0.15,49,Muy deteriorada,,,,,,,,,,,,,,
9.0,Arroyo Abra Vieja y Santa Rosa,TI009,19/5/2021,2021.0,otoño,12.8,8,8.2,6.89,Ausencia,Ausencia,Ausencia,Ausencia,5300,400,90,3,0.98,0.19,<0.20,5.8,<2.0,<30,140,<100,<0.005,<0.001,<10.000,46,Muy deteriorada,,,,,,,,,,,,,,
9.0,Arroyo Abra Vieja y Santa Rosa,TI009,25/8/2021,2021.0,invierno,13.8,11,9.5,7.06,Ausencia,Ausencia,Ausencia,Ausencia,no se midió,no se midió,no se midió,2.2,<0.05,<0.20,<0.10,<2.0,<30,29,<100,<0.005,<0.001,<0.010,<0.20,80,Levemente deteriorada,,,,,,,,,,,,,,
9.0,Arroyo Abra Vieja y Santa Rosa,TI009,27/10/2021,2021.0,primavera,24,32,6.12,6.96,Ausencia,Ausencia,Ausencia,Ausencia,5000,2000,40,4,0.44,<0.20,0.1,<2.0,34,33,<100,<0.005,<0.001,0.00237,<0.20,49,Muy deteriorada,,,,,,,,,,,,,,
17.0,Costa y Melo,VL031,24/2/2021,2021.0,verano,24.7,26,6.2,7.31,Ausencia,Ausencia,Ausencia,Presencia,4000,100,100,7.1,0.39,1.6,0.43,<2.0,<30,45,<100,<5.0,<0.001,0,<0.15,46,Muy deteriorada,,,,,,,,,,,,,,
17.0,Costa y Melo,VL031,19/5/2021,2021.0,otoño,14.8,13.4,8.37,7.96,Ausencia,Ausencia,Ausencia,Ausencia,10000,7500,2300,6.3,2.1,0.36,0.36,6.1,6.1,<30,120,<100,<0.005,<0.001,<10.000,39,Extremadamente deteriorada,,,,,,,,,,,,,,
17.0,Costa y Melo,VL031,25/8/2021,2021.0,invierno,14,11,9.08,7.59,Ausencia,Ausencia,Ausencia,Ausencia,20000,7000,800,5.2,0.1,0.31,0.32,4.7,<30,16,<100,<0.005,<0.001,<0.010,<0.20,43,Extremadamente deteriorada,,,,,,,,,,,,,,
17.0,Costa y Melo,VL031,27/10/2021,2021.0,primavera,22.4,24.2,7.21,7.17,Ausencia,Ausencia,Ausencia,Ausencia,8000,3000,300,5.2,<0.05,0.28,0.26,2.2,<30,9.3,<100,<0.005,<0.001,<0.01,<0.20,46,Muy deteriorada,,,,,,,,,,,,,,
16.0,Puerto de Olivos Espigón,VL032,24/2/2021,2021.0,verano,25.7,26,4.7,6.66,Ausencia,Ausencia,Ausencia,Presencia,5000,4000,820,5.6,0.7,1.2,0.33,<2.0,<30,29,<100,<5.0,<0.001,0,<0.15,37,Extremadamente deteriorada,Vicente López,Puerto de olivos espigón,-34.505.531,-58.473.719,282.281,273.863,"""Industria Manufacturera""",0.0,6.0,2.0,1.0,4.0,4.0,7.0
16.0,Puerto de Olivos Espigón,VL032,19/5/2021,2021.0,otoño,14.8,13.8,9.32,7.81,Ausencia,Ausencia,Ausencia,Ausencia,4000,2000,1400,5.7,0.9,0.3,0.3,9.8,4.1,<30,220,<100,<0.005,<0.001,<10.000,43,Extremadamente deteriorada,Vicente López,Puerto de olivos espigón,-34.505.531,-58.473.719,282.281,273.863,"""Industria Manufacturera""",0.0,6.0,2.0,1.0,4.0,4.0,7.0
16.0,Puerto de Olivos Espigón,VL032,25/8/2021,2021.0,invierno,13.5,11,9.4,7.5,Ausencia,Ausencia,Ausencia,Ausencia,20000,3000,900,5.7,0.3,0.32,0.31,4,<30,24,<100,<0.005,<0.001,<0.010,<0.20,44,Extremadamente deteriorada,Vicente López,Puerto de olivos espigón,-34.505.531,-58.473.719,282.281,273.863,"""Industria Manufacturera""",0.0,6.0,2.0,1.0,4.0,4.0,7.0
16.0,Puerto de Olivos Espigón,VL032,27/10/2021,2021.0,primavera,23.6,24.2,7,7.14,Ausencia,Ausencia,Presencia,Presencia,28000,300,500,6.1,0.6,0.32,0.3,2.1,59,7.1,<100,<0.005,<0.001,<0.01,<0.20,37,Extremadamente deteriorada,Vicente López,Puerto de olivos espigón,-34.505.531,-58.473.719,282.281,273.863,"""Industria Manufacturera""",0.0,6.0,2.0,1.0,4.0,4.0,7.0
15.0,Reserva Barrio El Ceibo ,VL033,24/2/2021,2021.0,verano,25.5,26,4.07,6.92,Ausencia,Ausencia,Ausencia,Ausencia,5000,4500,350,6.7,0.66,0.83,0.32,<2.0,<30,29,<100,<5.0,<0.001,0,<0.15,41,Extremadamente deteriorada,,,,,,,,,,,,,,
15.0,Reserva Barrio El Ceibo ,VL033,19/5/2021,2021.0,otoño,15,13.8,10.01,7.59,Ausencia,Ausencia,Ausencia,Ausencia,6000,2000,830,5.8,0.9,0.36,0.36,8.9,4.3,<30,250,<100,0.005,<0.001,<10.000,43,Extremadamente deteriorada,,,,,,,,,,,,,,
15.0,Reserva Barrio El Ceibo ,VL033,25/8/2021,2021.0,invierno,13.8,11,8.9,7.81,Ausencia,Ausencia,Ausencia,Ausencia,5000,400,100,4.9,0.3,0.34,0.37,4.9,<30,19,<100,0.0052,<0.001,<0.010,<0.20,54,Muy deteriorada,,,,,,,,,,,,,,
15.0,Reserva Barrio El Ceibo ,VL033,27/10/2021,2021.0,primavera,25.8,24.6,8.12,7.24,Ausencia,Ausencia,Ausencia,Ausencia,8300,900,360,4.9,1.1,0.34,0.3,3.2,67,6,<100,<0.005,<0.001,<0.01,<0.20,45,Muy deteriorada,,,,,,,,,,,,,,
23.0,Polo Petroquímico Dock Sud,AV051,23/2/2022,2022,Verano,25.7,22.2,4.13,7.58,Ausencia,Ausencia,Ausencia,Ausencia,5200,600,180,6.9,0.97,0.42,0.34,5.2,46,22,<0.10,<0.005,<0.001,20.7,<0.20,45,Muy deteriorada,,,,,,,,,,,,,,
23.0,Polo Petroquímico Dock Sud,AV051,4/5/2022,2022,otoño,17.8,14,4.28,7.42,Ausente,Ausente,Ausente,Ausente,270000,6000,300,3.9,2,0.45,0.42,4.1,65,45,<0.10,0.007,<0.001,<10,<0.15,36,Extremadamente deteriorada,,,,,,,,,,,,,,
23.0,Polo Petroquímico Dock Sud,AV051,23/8/2022,2022,invierno,14.06,14,6.19,7.51,Ausente,Ausente,Ausente,Ausente,40000,3,600,12.6,1.5,0.31,0.31,3.7,<30,50, <0.10,<0.005,<0.001,250, <0.15,38,Extremadamente deteriorada,,,,,,,,,,,,,,
23.0,Polo Petroquímico Dock Sud,AV051,31/10/2022,2022,Primavera,18.43,13,5.37,"7,47",Ausente,Ausente,Ausente,Ausente,1400,1350,80,3.6,2.2,0.57,0.54,no se midió,<30,16,<0.10,<0.005,<0.001,0.8,<0.15,52,Muy deteriorada,,,,,,,,,,,,,,
24.0,Arroyo Sarandí,AV052,23/2/2022,2022,Verano,26.3,25.2,4.43,7.81,Ausencia,Ausencia,Ausencia,Ausencia,2500,2000,140,8.6,0.049,0.69,0.52,9.2,29,17,<0.10,<0.005,<0.001,130.2,<0.20,44,Extremadamente deteriorada,,,,,,,,,,,,,,
24.0,Arroyo Sarandí,AV052,4/5/2022,2022,otoño,18.4,14,4.46,7.5,Ausente,Ausente,Ausente,Ausente,103000,35000,640,11.5,<0.05,0.79,0.73,no se midió,80,23,<0.10,0.008,<0.001,<10,<0.15,38,Extremadamente deteriorada,,,,,,,,,,,,,,
24.0,Arroyo Sarandí,AV052,23/8/2022,2022,invierno,14.6,14,5.36,7.48,Ausente,Ausente,Ausente,Ausente,40000,5,670,13.3,2,0.34,0.34,5,<30,28, <0.10,0.0051,<0.001,220, <0.15,38,Extremadamente deteriorada,,,,,,,,,,,,,,
24.0,Arroyo Sarandí,AV052,31/10/2022,2022,Primavera,18.5,14,6.6,"7,67",Ausente,Ausente,Ausente,Ausente,1000,800,20,3.3,2.5,0.55,0.54,no se midió,<30,18,<0.10,<0.005,<0.001,8.2,<0.15,43,Extremadamente deteriorada,,,,,,,,,,,,,,
26.0,Arroyo Santo Domingo,AV053,23/2/2022,2022,Verano,25.8,25.2,9.29,8.83,Ausencia,Ausencia,Ausencia,Ausencia,3800,1600,1100,6.5,1.9,0.8,0.69,14,35,13,<0.10,<0.005,<0.001,<10,<0.20,39,Extremadamente deteriorada,Avellaneda,Arroyo Santo Domingo,-34.662.789,-58.296.669,367.554,289.059,"""Producción de electricidad, gas y agua""",3.0,3.0,3.0,2.0,1.0,5.0,6.0
26.0,Arroyo Santo Domingo,AV053,4/5/2022,2022,otoño,17.9,14,3.43,7.46,Ausente,Ausente,Ausente,Ausente,20000,4200,230,3.7,2.9,0.65,0.53,no se midió,53,22,<0.10,0.006,<0.001,<10,<0.15,39,Extremadamente deteriorada,Avellaneda,Arroyo Santo Domingo,-34.662.789,-58.296.669,367.554,289.059,"""Producción de electricidad, gas y agua""",3.0,3.0,3.0,2.0,1.0,5.0,6.0
26.0,Arroyo Santo Domingo,AV053,23/8/2022,2022,invierno,16.6,14,5.36,7.66,Ausente,Ausente,Ausente,Ausente,92000,6,610,10.8,4.1,0.27,0.27,6.5,<30,13, <0.10,0.005,<0.001,310, <0.15,37,Extremadamente deteriorada,Avellaneda,Arroyo Santo Domingo,-34.662.789,-58.296.669,367.554,289.059,"""Producción de electricidad, gas y agua""",3.0,3.0,3.0,2.0,1.0,5.0,6.0
26.0,Arroyo Santo Domingo,AV053,31/10/2022,2022,Primavera,17.1,14,07.06,8,Ausente,Ausente,Ausente,Ausente,1300,1000,120,3.6,1.6,0.67,0.52,no se midió,<30,21,<0.10,7,<0.001,40.9,<0.15,40,Extremadamente deteriorada,Avellaneda,Arroyo Santo Domingo,-34.662.789,-58.296.669,367.554,289.059,"""Producción de electricidad, gas y agua""",3.0,3.0,3.0,2.0,1.0,5.0,6.0
22.0,Escollera de Propaneros,AV054,23/2/2022,2022,Verano,27.4,22.2,3.63,7.43,Ausencia,Ausencia,Ausencia,Ausencia,2700,2100,350,10,0.049,0.65,0.65,5.2,29,12,<0.10,<0.005,<0.001,70.8,<0.20,44,Extremadamente deteriorada,Avellaneda,Escollera de propaneros,-34.63,-58.328.339,367.554,289.059,"""Producción de electricidad, gas y agua""",3.0,3.0,3.0,2.0,1.0,5.0,6.0
22.0,Escollera de Propaneros,AV054,4/5/2022,2022,otoño,17.8,14,4.78,7.47,Ausente,Ausente,Ausente,Ausente,80000,5000,850,4.3,1.7,0.52,0.43,4.2,89,75,<0.10,0.015,<0.001,<10,<0.15,37,Extremadamente deteriorada,Avellaneda,Escollera de propaneros,-34.63,-58.328.339,367.554,289.059,"""Producción de electricidad, gas y agua""",3.0,3.0,3.0,2.0,1.0,5.0,6.0
22.0,Escollera de Propaneros,AV054,23/8/2022,2022,invierno,15.03,14,3.09,7.23,Ausente,Ausente,Ausente,Ausente,120000,6,660,13,3.3,0.54,0.54,6.8,<30,25, <0.10,0.011,<0.001,870, <0.15,35,Extremadamente deteriorada,Avellaneda,Escollera de propaneros,-34.63,-58.328.339,367.554,289.059,"""Producción de electricidad, gas y agua""",3.0,3.0,3.0,2.0,1.0,5.0,6.0
22.0,Escollera de Propaneros,AV054,31/10/2022,2022,Primavera,18.89,12,3.99,"7,22",Ausente,Ausente,Ausente,Ausente,700,500,40,3.2,3.3,0.78,0.66,no se midió,<30,14,<0.10,7,<0.001,6.4,<0.15,37,Extremadamente deteriorada,Avellaneda,Escollera de propaneros,-34.63,-58.328.339,367.554,289.059,"""Producción de electricidad, gas y agua""",3.0,3.0,3.0,2.0,1.0,5.0,6.0
25.0,Costa de Villa Domínico,AV055,23/2/2022,2022,Verano,25.1,25.2,7.51,8.62,Ausencia,Ausencia,Ausencia,Ausencia,1400,300,2200,8.9,0.8,0.85,0.49,15,94,19,<0.10,<0.005,<0.001,<10,<0.20,39,Extremadamente deteriorada,,,,,,,,,,,,,,
25.0,Costa de Villa Domínico,AV055,4/5/2022,2022,otoño,17,14,2.28,7.6,Ausente,Ausente,Ausente,Ausente,420000,28000,1100,3.4,4.8,1.2,0.88,no se midió,84,13,<0.10,0.007,<0.001,<10,<0.15,35,Extremadamente deteriorada,,,,,,,,,,,,,,
25.0,Costa de Villa Domínico,AV055,23/8/2022,2022,invierno,15.7,14,5.07,7.55,Ausente,Ausente,Ausente,Ausente,70000,6,600,12.6,3.1,0.42,0.42,5,<30,12, <0.10,0.0061,<0.001,1270, <0.15,37,Extremadamente deteriorada,,,,,,,,,,,,,,
25.0,Costa de Villa Domínico,AV055,31/10/2022,2022,Primavera,18.5,14,6.1,"8,02",Ausente,Ausente,Ausente,Ausente,6000,6000,100,3.3,1.3,30.12,0.40,no se midió,<30,15,<0.10,<0.005,<0.001,28.8,<0.15,40,Extremadamente deteriorada,,,,,,,,,,,,,,
40.0,Playa La Bagliardi,BS091,23/2/2022,2022,Verano,20,18,6.03,7.3,Ausencia,Ausencia,Ausencia,Ausencia,3500,200,1800,1.9,0.23,1.4,0.44,5.4,47,18,<0.10,<0.005,<0.001,<10,<0.20,44,Extremadamente deteriorada,Berisso,Playa La Bagliardi,-34.873.061,-57.810.561,100.930,47.630,"""Industria Manufacturera""",,,,,,,
40.0,Playa La Bagliardi,BS091,4/5/2022,2022,otoño,7,10,no midio la sonda,7.6,Ausencia,Ausencia,Ausencia,Ausencia,1400,400,1160,6.4,0.41,0.28,0.22,2.5,71,12,<0.10,<0.005,<0.001,<10,<0.15,50,Muy deteriorada,Berisso,Playa La Bagliardi,-34.873.061,-57.810.561,100.930,47.630,"""Industria Manufacturera""",,,,,,,
40.0,Playa La Bagliardi,BS091,23/8/2022,2022,invierno,10,12,No se midió,8.32,Ausencia,Ausencia,Ausencia,Ausencia,9000,2,570,16.2,5.4,1.3,1,no se midió,<30,25, <0.10,<0.005,<0.001,1730, <0.15,38,Extremadamente deteriorada,Berisso,Playa La Bagliardi,-34.873.061,-57.810.561,100.930,47.630,"""Industria Manufacturera""",,,,,,,
40.0,Playa La Bagliardi,BS091,31/10/2022,2022,Primavera,10,12,no se midió,no se midió,Ausencia,Ausencia,Ausencia,Presencia,1400,1000,380,4.6,0.8,0.45,0.43,no se midió,<30,40,<0.10,<0.005,<0.001,0.2,<0.15,49,Muy deteriorada,Berisso,Playa La Bagliardi,-34.873.061,-57.810.561,100.930,47.630,"""Industria Manufacturera""",,,,,,,
38.0,Balneario Palo Blanco,BS092,23/2/2022,2022,Verano,22,20,6.59,7.91,Ausencia,Ausencia,Ausencia,Ausencia,700,100,360,2.9,0.049,1.3,0.5,5,29,11,<0.10,<0.005,<0.001,<10,<0.20,50,Muy deteriorada,Berisso,Balneario Palo Blanco,-34.855.808,-57.838.144,100.930,47.630,"""Industria Manufacturera""",,,,,,,
38.0,Balneario Palo Blanco,BS092,4/5/2022,2022,otoño,8,13,no midio la sonda,7.76,Ausencia,Ausencia,Ausencia,Ausencia,30000,10000,800,12.5,<0.05,0.39,0.32,5.8,70,19,<0.10,<0.005,<0.001,<10,<0.15,41,Extremadamente deteriorada,Berisso,Balneario Palo Blanco,-34.855.808,-57.838.144,100.930,47.630,"""Industria Manufacturera""",,,,,,,
38.0,Balneario Palo Blanco,BS092,23/8/2022,2022,invierno,12,14,No se midió,8.27,Ausencia,Ausencia,Ausencia,Ausencia,50000,16,3,4.1,12,1.2,1.2,12,<30,"8,5", <0.10,<0.005,<0.001,2900, <0.15,34,Extremadamente deteriorada,Berisso,Balneario Palo Blanco,-34.855.808,-57.838.144,100.930,47.630,"""Industria Manufacturera""",,,,,,,
38.0,Balneario Palo Blanco,BS092,31/10/2022,2022,Primavera,10,12,no se midió,no se midió,Ausencia,Ausencia,Ausencia,Presencia,800,600,400,6.9,0.38,0.24,0.24,no se midió,<30,23,<0.10,<0.005,<0.001,2.1,<0.15,43,Extremadamente deteriorada,Berisso,Balneario Palo Blanco,-34.855.808,-57.838.144,100.930,47.630,"""Industria Manufacturera""",,,,,,,
42.0,Playa La Balandra,BS093,23/2/2022,2022,Verano,20,17,6.99,7.75,Ausencia,Ausencia,Ausencia,Ausencia,6000,100,7500,1.9,0.18,0.54,0.85,2.4,32,110,<0.10,0.0061,<0.001,<10,<0.20,42,Extremadamente deteriorada,,,,,,,,,,,,,,
42.0,Playa La Balandra,BS093,4/5/2022,2022,otoño,6,9,no midio la sonda,8.59,Ausencia,Ausencia,Ausencia,Ausencia,600,330,190,6.8,<0.05,0.29,0.27,2.0,88,75,<0.10,<0.005,<0.001,<10,<0.15,55,Muy deteriorada,,,,,,,,,,,,,,
42.0,Playa La Balandra,BS093,23/8/2022,2022,invierno,9,11,No se midió,8.44,Ausencia,Ausencia,Ausencia,Ausencia,1300,200,40,3.3,2,0.59,0.59,5.7,34,28, <0.10,<0.005,<0.001,720, 0.23,46,Muy deteriorada,,,,,,,,,,,,,,
42.0,Playa La Balandra,BS093,31/10/2022,2022,Primavera,10,12,no se midió,no se midió,Ausencia,Ausencia,Ausencia,Presencia,900,600,480,5.1,0.21,0.48,0.35,no se midió,<30,70,<0.10,5,<0.001,48.0,<0.15,34,Extremadamente deteriorada,,,,,,,,,,,,,,
41.0,Balneario Municipal,BS094,23/2/2022,2022,Verano,20,17,7.4,7.84,Ausencia,Ausencia,Ausencia,Ausencia,5000,200,1100,2.2,0.45,0.44,0.68,,29,130,<0.10,0.0062,<0.001,<10,0.3,44,Extremadamente deteriorada,,,,,,,,,,,,,,
41.0,Balneario Municipal,BS094,4/5/2022,2022,otoño,7,10,9.1,8.47,Ausencia,Ausencia,Ausencia,Ausencia,600,230,260,6.1,0.11,0.25,0.21,<2.0,82,70,<0.10,<0.005,<0.001,<10,<0.15,59,Muy deteriorada,,,,,,,,,,,,,,
41.0,Balneario Municipal,BS094,23/8/2022,2022,invierno,10,12,No se midió,8.95,Ausencia,Ausencia,Ausencia,Ausencia,400,200,30,5,0.17,0.26,1.4,4.6,33,37, <0.10,<0.005,<0.001,6410, 0.57,41,Extremadamente deteriorada,,,,,,,,,,,,,,
41.0,Balneario Municipal,BS094,31/10/2022,2022,Primavera,10,12,no se midió,no se midió,Ausencia,Ausencia,Ausencia,Presencia,1800,1500,500,5.2,0.55,0.27,0.27,no se midió,39,90,<0.10,5,<0.001,10.5,<0.15,39,Extremadamente deteriorada,,,,,,,,,,,,,,
39.0,Diagonal 66 (descarga cloaca),BS095,23/2/2022,2022,Verano,20,18,6.56,8.11,Presencia,Presencia,Presencia,Presencia,150000,2800,20000,2,0.049,1.5,1.3,8.4,29,4.1,<0.10,<0.005,<0.001,<10,<0.20,31,Extremadamente deteriorada,,,,,,,,,,,,,,
39.0,Diagonal 66 (descarga cloaca),BS095,4/5/2022,2022,otoño,8,12,7.2,7.99,Presencia,Presencia,Presencia,Presencia,400000,150000,28000,<2.0,8.5,1.2,0.85,7.1,66,3.3,<0.10,<0.005,<0.001,<10,<0.15,29,Extremadamente deteriorada,,,,,,,,,,,,,,
39.0,Diagonal 66 (descarga cloaca),BS095,23/8/2022,2022,invierno,11,14,No se midió,8.13,Presencia,Presencia,Presencia,Presencia,700000,440,30,2.1,19,1.4,1.4,21,<30,11, <0.10,<0.005,<0.001,630, <0.15,23,Extremadamente deteriorada,,,,,,,,,,,,,,
39.0,Diagonal 66 (descarga cloaca),BS095,31/10/2022,2022,Primavera,10,12,no se midió,no se midió,Ausencia,Presencia,Ausencia,Presencia,80000,80000,12000,5.2,1.2,30.12,0.39,no se midió,31,18.2,<0.10,<0.005,<0.001,20.2,<0.15,37,Extremadamente deteriorada,,,,,,,,,,,,,,
31.0,Puerto Trinidad calle 47,BZ077,23/2/2022,2022,Verano,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,,,,,,,,,,,,,,,,
31.0,Puerto Trinidad calle 47,BZ077,4/5/2022,2022,otoño,16.7,15,12,8.81,Ausencia,Ausencia,Ausencia,Ausencia,280000,3600,1580,10,0.18,0.70,0.67,12,110,45,<0.10,0.02,<0.001,<10,<0.15,36,Extremadamente deteriorada,,,,,,,,,,,,,,
31.0,Puerto Trinidad calle 47,BZ077,23/8/2022,2022,invierno,10.01,16,10.22,8.22,Presencia,Ausencia,Ausencia,Presencia,20000,290,50,12.2,1.9,0.4,0.4,12,<30,13, <0.10,<0.005,<0.001,2130, <0.15,33,Extremadamente deteriorada,,,,,,,,,,,,,,
31.0,Puerto Trinidad calle 47,BZ077,31/10/2022,2022,Primavera,18.06,16,10.39,"8,03",Ausencia,Ausencia,Ausencia,Ausencia,360,330,100,8.5,0.66,0.31,0.31,no se midió,30,25,<0.10,<0.005,<0.001,8.5,<0.15,39,Extremadamente deteriorada,,,,,,,,,,,,,,
30.0,Calle 14 y Costa - Salida cloaca,BZ078,23/2/2022,2022,Verano,23,20,7.91,7.93,Ausencia,Ausencia,Ausencia,Ausencia,3000,100,450,4.1,0.08,0.37,0.27,12,29,45,<0.10,<0.005,<0.001,164.9,<0.20,48,Muy deteriorada,Berazategui,Calle 14 y costa - salida cloaca,-34.744.169,-58.177.231,358.712,267.760,"""Agricultura, ganadería, caza y silvicultura""",1.0,2.0,0.0,7.0,6.0,6.0,3.0
30.0,Calle 14 y Costa - Salida cloaca,BZ078,4/5/2022,2022,otoño,15.8,15,10.83,9.39,Presencia,Ausencia,Ausencia,Ausencia,70000,2000,370,5.8,<0.05,0.54,0.54,16,62,60,<0.10,0.007,<0.001,<10,<0.15,36,Extremadamente deteriorada,Berazategui,Calle 14 y costa - salida cloaca,-34.744.169,-58.177.231,358.712,267.760,"""Agricultura, ganadería, caza y silvicultura""",1.0,2.0,0.0,7.0,6.0,6.0,3.0
30.0,Calle 14 y Costa - Salida cloaca,BZ078,23/8/2022,2022,invierno,11.01,17,10.01,6.37,Ausencia,Ausencia,Ausencia,Ausencia,100000,13,2,8.5,5.2,0.62,0.62,14,<30,10, <0.10,0.0064,<0.001,1400, <0.15,33,Extremadamente deteriorada,Berazategui,Calle 14 y costa - salida cloaca,-34.744.169,-58.177.231,358.712,267.760,"""Agricultura, ganadería, caza y silvicultura""",1.0,2.0,0.0,7.0,6.0,6.0,3.0
30.0,Calle 14 y Costa - Salida cloaca,BZ078,31/10/2022,2022,Primavera,15.04,11,11.02,"8,05",Ausencia,Ausencia,Ausencia,Ausencia,1600,1600,320,7.2,0.45,0.88,0.28,no se midió,37,37,<0.10,12,<0.001,92.4,<0.15,40,Extremadamente deteriorada,Berazategui,Calle 14 y costa - salida cloaca,-34.744.169,-58.177.231,358.712,267.760,"""Agricultura, ganadería, caza y silvicultura""",1.0,2.0,0.0,7.0,6.0,6.0,3.0
32.0,Costanera Hudson Calle 63,BZ080,23/2/2022,2022,Verano,26,23,9.58,9.01,Ausencia,Ausencia,Ausencia,Ausencia,1100,300,1500,4,0.08,0.57,0.58,7.2,135,85,<0.10,<0.005,<0.001,414.8,1,40,Extremadamente deteriorada,Berazategui,Costanera Hudson calle 63,-34.753,-58.108.281,358.712,267.760,"""Agricultura, ganadería, caza y silvicultura""",1.0,2.0,0.0,7.0,6.0,6.0,3.0
32.0,Costanera Hudson Calle 63,BZ080,4/5/2022,2022,otoño,17,17,17.61,9.98,Ausencia,Ausencia,Ausencia,Ausencia,20000,1000,800,6.2,<0.05,0.52,0.43,18,59,60,<0.10,0.007,<0.001,<10,<0.15,40,Extremadamente deteriorada,Berazategui,Costanera Hudson calle 63,-34.753,-58.108.281,358.712,267.760,"""Agricultura, ganadería, caza y silvicultura""",1.0,2.0,0.0,7.0,6.0,6.0,3.0
32.0,Costanera Hudson Calle 63,BZ080,23/8/2022,2022,invierno,15.1,15.2,11.82,8.37,Ausencia,Ausencia,Ausencia,Ausencia,58000,500,80,12.2,1.5,0.36,0.36,9,<30,14, <0.10,<0.005,<0.001,2500, <0.15,38,Extremadamente deteriorada,Berazategui,Costanera Hudson calle 63,-34.753,-58.108.281,358.712,267.760,"""Agricultura, ganadería, caza y silvicultura""",1.0,2.0,0.0,7.0,6.0,6.0,3.0
32.0,Costanera Hudson Calle 63,BZ080,31/10/2022,2022,Primavera,18.7,12,8.54,"7,58",Ausencia,Ausencia,Ausencia,Ausencia,600,500,270,5.9,0.22,0.51,0.31,no se midió,48,34,<0.10,8,<0.001,11.7,<0.15,40,Extremadamente deteriorada,Berazategui,Costanera Hudson calle 63,-34.753,-58.108.281,358.712,267.760,"""Agricultura, ganadería, caza y silvicultura""",1.0,2.0,0.0,7.0,6.0,6.0,3.0
